ID,Year,From School Edit,To School Edit,Current Title,Gender,JD Year,JD School,# of Post-JD Degrees, TextPost , # Degrees ,Type,# of teaching jobs,Year of first teaching job,From Rank,To Rank,Rank diff,From Pop,To Pop,Pop diff
00002B5C,2019,University of Virginia,College of William & Mary,Dean and Chancellor Professor,M,2001,Harvard,0, 0 , -   ,,7,2004,8,102,-94,218358,2048449,1830091
00002B63,2019,Duquesne University,Gonzaga University,Associate Dean for Faculty Scholarship and Associate Professor of Law,F,2007,Tulane,0, 0 , -   ,,7,2012,129,118,11,6102434,568521,-5533913
00002B6A,2019,"University of Arkansas, Fayetteville",Washington & Lee University,Associate Professor of Law,M,2006,University of Virginia,0, 0 , -   ,,4,2011,111,107,4,998655,231969,-766686
00002B71,2019,Texas Tech University,University of Oklahoma,Professor of Law,M,2007,Berkeley,0, 0 , -   ,,3,2012,111,62,49,321982,2266715,1944733
00002B78,2019,"University of California, Irvine",Harvard University,Lee S. Kreindler Professor of Law,F,1995,Stanford,0, 0 , -   ,,4,2003,99,3,96,1127983,4873019,3745036
00002B7F,2019,Deakin University,Suffolk University,Assistant Professor of Law,M,2004,Berkeley,1 - PhD (Harvard 2016), 1 , 1.00 ,,2,2017,141,136,5,799232,4873019,4073787
00002B86,2019,University of the District of Columbia,American University,Professor of Law,M,2000,University of Pennsylvania,1 - LLM (Georgetown 2004), 1 , 1.00 ,,6,2001,62,76,-14,2266715,6280697,4013982
00002B8D,2019,Wake Forest University,"University of California, Los Angeles",Professor of Law,M,2009,Yale,0, 0 , -   ,,7,2009,42,99,-57,676008,1127983,451975
00002B9B,2019,New York Law School,Northeastern University,"Professor of Law and Computer Science; Faculty Director, Center for Law, Innovation and Creativity (CLIC)",M,2005,Harvard,"2 - MA (Columbia 2013)
     PhD (Columbia 2015)", 2 , 2.00 ,,7,2007,129,67,62,19216182,4873019,-14343163
00002BA2,2019,University of Houston,University of Florida,"Stephen C. O'Connell Chair, Professor of Law, Professor of Engineering, University of Florida Wertheim College of Engineering",F,1994,Yale,1 - LLM (University of Houston 2003), 1 , 1.00 ,,3,2004,99,99,0,1127983,1127983,0
00002BA9,2019,Brooklyn Law School,Fordham University,"Professor of Law and Director of Center on Race, Law, and Justice",M,1991,Columbia,0, 0 , -   ,,6,2005,83,27,56,19216182,19216182,0
00002BB0,2019,University of Houston,University of Florida,"
Samuel T. Dell Professor, Professor of Law, Co-Director, Environmental and Land Use Law Program",M,2007,Duke,0, 0 , -   ,,4,2009,99,99,0,1127983,1127983,0
00002BB7,2019,"University of Missouri, Kansas City",American University,Associate Professor of Law,M,2008,Harvard,0, 0 , -   ,,4,2013,141,76,65,1344910,6280697,4935787
00002BBE,2019,Thomas Jefferson School of Law,California Western Law School,Professor of Law,F,2000,Berkeley,0, 0 , -   ,,4,2010,150,83,67,3338330,19216182,15877852
00002BC5,2019,University of Connecticut,Texas A&M University,Professor of Law,M,2000,Harvard,0, 0 , -   ,,3,2009,99,60,39,1127983,7573136,6445153
00002BCC,2019,"Indiana University, Bloomington",Vanderbilt University,Professor of Law,M,2001,University of Michigan,1 - PhD (Berkeley 2008), 1 , 1.00 ,,4,2009,122,18,104,2076531,1933860,-142671
00002BD3,2019,Seattle University,Case Western Reserve University,David L. Brennan Chaired Professor of Law and Associate Dean of Diversity and Inclusion,M,1990,Case Western Reserve,0, 0 , -   ,,3,1995,129,76,53,3979845,2048449,-1931396
00002BDA,2019,American University ,University of Hawaii,Dean and Professor of Law,F,1994,University of Ottawa,1 - LLM (Columbia 2000), 1 , 1.00 ,,6,2000,76,99,-23,6280697,1127983,-5152714
00002BE1,2019,Michigan State University,Southern Methodist University,Assistant Professor of Law,F,2009,Duke,0, 0 , -   ,,4,2013,93,56,37,550391,7573136,7022745
00002BE8,2019,Seattle University ,"Loyola University, Chicago",Morris I. Leibman Professor of Law,F,1988,Harvard,0, 0 , -   ,,11,1998,129,62,67,3979845,13214799,9234954
00002BEF,2019,University of Utah,University of Virginia,Professor of Law,F,2010,University of Chicago,0, 0 , -   ,,4,2014,62,8,54,2266715,218358,-2048357
00002BF6,2019,Chicago-Kent College of Law,University of Iowa,Professor of Law,M,2004,University of Pennsylvania,1 - PhD (Princeton 2005), 1 , 1.00 ,,5,2012,4,99,-95,9457867,1127983,-8329884
00002BFD,2019,University of Pittsburgh,University of Maryland,Associate Professor of Law,M,2006,Harvard,0, 0 , -   ,,2,2015,62,47,15,2266715,2800053,533338
00002C04,2019,University of Oklahoma,University of Iowa,Professor of Law,M,2010,Louisiana State University,0, 0 , -   ,,4,2017,62,99,-37,2266715,1127983,-1138732
00002C0B,2019,University of Arizona,Boston University,Professor of Law,M,2007,Harvard,0, 0 , -   ,,8,2004,111,20,91,998655,4873019,3874364
00002C12,2019,Ohio State University,"University of Wisconsin, Madison",Fred W. & Vi Miller Dean and Professor of Law,M,1994,Yale,0, 0 , -   ,,4,2003,38,42,-4,2122271,3979845,1857574
00002C19,2019,Pace University,McGill University,Professor of Law,M,1995,University of Pennsylvania,1 - MIA (Columbia 2005), 1 , 1.00 ,,9,2004,136,150,-14,19216182,2363730,-16852452
00002C20,2019,"University of California, Irvine",University of Virginia,,M,1996,Harvard,"3 - M.A. (Stanford 2000)
    BCL (Oxford 2003)
    PhD (Stanford 2004)", 3 , 3.00 ,,13,2000,99,8,91,1127983,218358,-909625
00002C27,2019,University of Virginia,George Washington University,Dean and Harold H. Greene Professor of Law,F,1987,University of Virginia,1 - PhD (University of Colorado at Denver 2018), 1 , 1.00 ,,5,1991,8,23,-15,218358,6280697,6062339
00002C2E,2019,Ohio Northern University,Florida A&M University,Dean and Professor of Law,F,2006,Emory,0, 0 , -   ,,2,2010,150,150,0,31425,2608147,2576722
00002C35,2019,Pepperdine University,University of Iowa,Professor of Law,M,2007,Notre Dame,0, 0 , -   ,,5,2010,47,99,-52,13214799,1127983,-12086816
00002C3C,2019,Chapman University,George Mason University,"Professor of Law and Deputy Executive Director, Law and Economics Center",M,1998,Cornell,0, 0 , -   ,,4,2002,111,42,69,13214799,6280697,-6934102
00002C43,2019,University of South Carolina,University of Connecticut,Dean and Professor of Law,F,2001,Harvard,0, 0 , -   ,,5,2003,62,99,-37,2266715,1127983,-1138732
00002C51,2019,Whittier College,University of Tulsa,Professor of Law,F,1999,Harvard,0, 0 , -   ,,5,2008,150,62,88,13214799,2266715,-10948084
00002C58,2019,"University of Oklahoma, Norman",California Western School of Law,Associate Professor of Law,F,2006,Harvard,1 - PhD (George Washington University 2015), 1 , 1.00 ,,4,2012,62,150,-88,2266715,3338330,1071615
00002C5F,2019,University of Virginia,University of Chicago,Professor of Law,F,2012,Yale,1 - PhD (Princeton 2015), 1 , 1.00 ,,2,2017,8,99,-91,218358,1127983,909625
00002C66,2019,University of Maryland,Brooklyn Law School,Professor of Law,M,2001,Yale,0, 0 , -   ,,5,2004,47,83,-36,2800053,19216182,16416129
00002C6D,2019,Duke University,University of Virginia,Professor of Law,M,1994,Harvard,0, 0 , -   ,,4,1997,12,8,4,2079687,218358,-1861329
00002C74,2019,Cornell University ,Yale School of Forestry and Environmental Studies,Professor of Environmental Justice and Professor of Law,M,1977,Yale,0, 0 , -   ,,4,1995,13,133,-120,102180,38390,-63790
00002C7B,2019,"Indiana University, Bloomington",Duke University,Professor of Law,F,2009,Cornell,0, 0 , -   ,,4,2012,122,12,110,2076531,2079687,3156
00002C82,2019,University of Louisville,"Indiana University, Bloomington (School of Business)",Assistant Professor of Business Law and Ethics,M,2005,University of Chicago,1 - LLM (Northwestern 2007), 1 , 1.00 ,,5,2012,99,122,-23,1266389,2076531,810142
