School,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
American University,45,48,50,49,56,72,71,78,86,80,77,76,81
Arizona State University,55,38,40,26,29,31,26,25,25,27,27,24,25
Baylor University,65,64,56,51,54,51,56,55,51,50,48,50,58
Boston College,26,28,27,29,31,36,34,30,26,27,27,31,29
Boston University,20,22,22,26,29,27,26,20,23,22,23,20,20
Brigham Young University,41,42,42,39,44,36,34,38,46,41,39,37,29
Brooklyn Law School,61,67,67,65,80,83,78,97,88,83,71,83,81
Case Western Reserve University,55,56,61,67,68,64,59,57,62,65,71,76,72
Catholic University of America,94,98,79,82,80,105,105,105,105,105,105,105,105
Chapman University,105,93,105,105,105,105,105,105,105,105,105,105,105
Columbia University,4,4,4,4,4,4,4,4,5,5,5,4,4
Cornell University,13,13,13,14,13,13,13,13,13,13,13,13,13
DePaul University,87,98,84,89,105,105,105,105,105,105,105,105,105
Drexel University,,,,,,,,,,,100,93,81
Duke University,10,11,11,11,11,10,8,11,10,11,10,12,10
Emory University,20,22,30,24,23,19,19,22,22,22,26,24,29
Florida International University,105,105,105,105,105,100,105,105,100,105,91,90,88
Florida State University,51,54,50,51,48,45,50,50,48,47,48,50,48
Fordham University,30,34,30,29,38,36,34,37,36,37,39,27,35
George Mason University,41,42,40,39,41,46,42,45,41,41,45,42,41
George Washington University,28,20,20,20,21,20,22,25,30,24,22,23,27
Georgetown University,14,14,14,13,14,13,14,14,15,14,14,14,15
Georgia State University,65,60,61,58,54,64,56,57,65,65,67,76,78
Gonzaga University,100,105,105,105,105,105,105,105,105,105,105,105,105
Harvard University,2,2,2,3,2,2,2,2,3,3,3,3,3
Hofstra University,100,86,84,89,105,105,105,105,105,105,100,105,105
Howard University,,,,,,,,,,,,,91
Illinois Institute of Technology (Kent),77,80,61,62,68,72,78,86,92,85,87,83,91
Indiana University - Bloomington,23,27,23,26,25,29,34,25,30,32,34,38,43
Indiana University - Indianapolis,87,86,79,89,98,87,105,100,88,98,105,105,105
Lewis And Clark College,61,64,67,58,80,72,94,92,100,95,105,93,88
Louisiana State University,75,80,84,79,76,72,94,82,96,88,100,96,105
